INDICATOR,DOMAIN,coef_std,coef_original_scale,weight_indicator,weight_indicator_norm
% of Startups Exiting via Acquisition or IPO,Culture,0.01049441882193201,0.0006330320827755652,0.0006330320827755652,0.00048525315793320275
Availability of Alternative Finance,Finance,0.030343561887748997,0.002179851395178208,0.002179851395178208,0.0016709734026392907
"Availability of tech services (fintech services, crypto)",Supports,0.14128105954319187,0.005348650493191168,0.005348650493191168,0.0041000284395098915
Corporate tax rate,Policy,0.007508786019784955,0.00034079423420218136,0.00034079423420218136,0.000261237120284576
Corruption index / Rule of law,Policy,-0.01487373911770942,-0.0005441093557116456,-0.0005441093557116456,-0.00041708910228122775
"Cost of Internet (60 Mbps or more, unlimited data cable/adsl) utlities monthly in USD",Supports,-0.0059362641517564626,-0.0005630163751508707,-0.0005630163751508707,-0.0004315823501585889
Cost of internet per month/USD,Supports,-0.0059683710458721066,-0.0005660615070183591,-0.0005660615070183591,-0.00043391660760813694
Diversity and Inclusion Index-wage inequality,Human Capital,0.008473538584765522,0.000667788195784683,0.000667788195784683,0.0005118955889474569
E-Government Index,Policy,0.08450260090664873,0.004098150024061208,0.004098150024061208,0.0031414525345072964
Early-Stage Funding Growth,Finance,0.0007668321691424091,3.914275844619702e-05,3.914275844619702e-05,3.0005030808158614e-05
Early-stage Funding Volume,Finance,1.7295779025877156,0.2005553444890407,0.2005553444890407,0.15373646439368882
Ease of getting credit,Finance,0.012506721247301168,0.0005690183694766909,0.0005690183694766909,0.0004361832018053671
Ease of starting a business index,Policy,0.037590433607312845,0.001457148201548539,0.001457148201548539,0.0011169825126048237
Employee Engagement,Human Capital,0.023661105860578974,0.001148939198856445,0.001148939198856445,0.000880723725839973
English proficiency,Human Capital,0.010246209207629814,0.0004755279998132011,0.0004755279998132011,0.00036451780229411495
Entrepreneurship as a good career choice rate,Culture,-0.019268697567018163,-0.0013890635781534418,-0.0013890635781534418,-0.0010647919848130797
FDI Confidence index emerging markets rankings,Policy,-0.02532944185909854,-0.0024048928162846255,-0.0024048928162846255,-0.0018434797624731591
Fear of failure rate,Culture,-0.06567433630907164,-0.005112357490505281,-0.005112357490505281,-0.0039188971368939104
Female/Male TEA Ratio,Culture,0.04499330167850762,0.0029765001383376395,0.0029765001383376395,0.002281647535752205
Financial Literacy,Human Capital,0.04379445840979649,0.001940145838492834,0.001940145838492834,0.001487226193736842
Financial market development Index,Finance,-0.06189622490148409,-0.0054869662480949025,-0.0054869662480949025,-0.004206054909076281
Global Innovation Index,Culture,0.27464197981375643,0.012015533685546866,0.012015533685546866,0.009210553183339302
Government R&D Expenditure % GDP,Policy,0.0883208877239474,0.005359678481012398,0.005359678481012398,0.004108481985643662
Government effectiveness,Policy,-0.0019789670999781584,-7.337896842495813e-05,-7.337896842495813e-05,-5.624892817117442e-05
Growth Rates in Biotech,Markets,0.15078278097355186,0.012480957031724912,0.012480957031724912,0.009567325224842303
Growth Rates in Cleantech,Markets,-0.010159736466596,-0.0009824782474063287,-0.0009824782474063287,-0.0007531224484930669
