INDICATOR,DOMAIN,coef_std,coef_original_scale,weight_indicator,weight_indicator_norm
% of Startups Exiting via Acquisition or IPO,Culture,0.0,0.0,0.0,0.0
Availability of Alternative Finance,Finance,0.0,0.0,0.0,0.0
"Availability of tech services (fintech services, crypto)",Supports,-0.0,-0.0,-0.0,-0.0
Corporate tax rate,Policy,-0.16843220498615857,-0.00764447464104013,-0.00764447464104013,-0.01952150459859784
Corruption index / Rule of law,Policy,-0.0,-0.0,-0.0,-0.0
"Cost of Internet (60 Mbps or more, unlimited data cable/adsl) utlities monthly in USD",Supports,0.037675307806974416,0.003788966661895535,0.003788966661895535,0.009675789846568647
Cost of internet per month/USD,Supports,0.037653451147516934,0.003786768560304724,0.003786768560304724,0.009670176609253053
Diversity and Inclusion Index-wage inequality,Human Capital,0.0,0.0,0.0,0.0
E-Government Index,Policy,0.37047203379941424,0.01829557486548699,0.01829557486548699,0.04672095410627191
Early-Stage Funding Growth,Finance,-0.0,-0.0,-0.0,-0.0
Early-stage Funding Volume,Finance,0.0,0.0,0.0,0.0
Ease of getting credit,Finance,0.041269108385191586,0.0018840777599744122,0.0018840777599744122,0.004811322475713257
Ease of starting a business index,Policy,-0.0,-0.0,-0.0,-0.0
Employee Engagement,Human Capital,-0.02771884678851404,-0.0013592090685736258,-0.0013592090685736258,-0.0034709783639239934
English proficiency,Human Capital,0.20969318545579985,0.009822053063648117,0.009822053063648117,0.025082332410431
Entrepreneurship as a good career choice rate,Culture,0.0,0.0,0.0,0.0
FDI Confidence index emerging markets rankings,Policy,0.1752538096858248,0.01703327268696643,0.01703327268696643,0.043497444455194524
Fear of failure rate,Culture,-0.0806451802611927,-0.006506627350192123,-0.006506627350192123,-0.016615812296141702
Female/Male TEA Ratio,Culture,0.0,0.0,0.0,0.0
Financial Literacy,Human Capital,0.10120609289330819,0.004487713979039812,0.004487713979039812,0.011460163476596666
Financial market development Index,Finance,-0.03785732794163226,-0.003428220299528172,-0.003428220299528172,-0.008754560840970989
Global Innovation Index,Culture,0.2511837165916771,0.011067279526351474,0.011067279526351474,0.02826223623108803
Government R&D Expenditure % GDP,Policy,-0.0,-0.0,-0.0,-0.0
Government effectiveness,Policy,-0.0,-0.0,-0.0,-0.0
Growth Rates in Biotech,Markets,-0.0,-0.0,-0.0,-0.0
Growth Rates in Cleantech,Markets,0.0,0.0,0.0,0.0
Growth Rates in Fintech,Markets,0.0,0.0,0.0,0.0
Growth Rates in Tech,Markets,-0.0,-0.0,-0.0,-0.0
H-index,Human Capital,0.5350946118193776,0.029080774032064372,0.029080774032064372,0.07426284874436921
Human Development Index,Human Capital,-0.0,-0.0,-0.0,-0.0
IP Protection Score,Policy,-0.0,-0.0,-0.0,-0.0
Internet freedom,Policy,-0.0986779043075222,-0.0055382155666927335,-0.0055382155666927335,-0.0141428032310809
Internet speed,Supports,0.126462933607322,0.0058044194899273,0.0058044194899273,0.014822601563289284
Migration management,Policy,-0.05225125371886915,-0.0041449187243482065,-0.0041449187243482065,-0.010584775767817613
Number of Accelerators,Supports,0.15771279200908994,0.054389249325852325,0.054389249325852325,0.13889247210380495
Number of Corporate Venture Capital (CVC) Funds investing in local Startups,Markets,0.0,0.0,0.0,0.0
Number of IPOs in the Last 5 Years,Finance,0.04818765195936991,0.004770875860488037,0.004770875860488037,0.012183266924564545
Number of Investors/VCs,Finance,0.0,0.0,0.0,0.0
Number of STEM graduates,Human Capital,0.0010027900000279088,8.975586000332243e-05,8.975586000332243e-05,0.00022920730541759734
Number of VC investors older than 5 years,Finance,0.0,0.0,0.0,0.0
Number of contributions by top 1000 GitHub users,Human Capital,0.31137649701353004,0.016168773759692102,0.016168773759692102,0.041289795064395785
Number of coworking spaces,Supports,0.04460416044268116,0.01347026949094732,0.01347026949094732,0.034398691886575634
Number of cumulative unicorns,Culture,0.2645990438037118,0.046087373953172986,0.046087373953172986,0.11769217962135194
Number of exits above 1B,Culture,0.018939022968143718,0.0034199441092493898,0.0034199441092493898,0.008733426139873447
Number of exits above 50M,Culture,0.0,0.0,0.0,0.0
Number of global startup events,Supports,-0.0,-0.0,-0.0,-0.0
Number of incubators,Supports,0.0,0.0,0.0,0.0
Number of research institutes,Supports,0.00939905590697197,0.0009301790184044837,0.0009301790184044837,0.002375375004557757
Perceived opportunities rate,Culture,0.0,0.0,0.0,0.0
Percentage of Startups Securing Series A or Beyond,Finance,-0.0635011155616981,-0.004398356294334385,-0.004398356294334385,-0.011231972981525614
Percentage of enrollment in secondary education,Human Capital,-0.02291601041794336,-0.0010268174948706952,-0.0010268174948706952,-0.0026221582763091755
Political transformation index,Policy,-0.0023194618930256513,-0.00012561593288774672,-0.00012561593288774672,-0.0003207822808856424
Presence of international influencers (like Tim Cook),Markets,-0.13093724489953218,-0.009506766108583078,-0.009506766108583078,-0.024277191961650256
Public Open Data Initiatives,Policy,0.3251027303201316,0.01871690788375422,0.01871690788375422,0.047796901746870755
Quality of Vocational Trainings,Human Capital,-0.06437308932235591,-0.0040305572973779935,-0.0040305572973779935,-0.010292733838537635
Ratio of Series A to seed,Culture,-0.0,-0.0,-0.0,-0.0
Ratio of Series C to Series A Startups,Culture,-0.0,-0.0,-0.0,-0.0
Regulatory quality,Policy,0.0005270004862741836,1.9350457259759563e-05,1.9350457259759563e-05,4.941478101757029e-05
Salary of software engineers,Human Capital,0.07052839335781398,0.003104833474534387,0.003104833474534387,0.007928735955981488
Score of data science and tech skills,Human Capital,-0.1966220268571517,-0.008316878959203277,-0.008316878959203277,-0.02123860676787823
Startups to total number of companies ratio,Culture,0.11707812905076248,0.024787566487997233,0.024787566487997233,0.06329939150895635
Strength of IP Laws Score,Policy,-0.18442988613206612,-0.010896277847857343,-0.010896277847857343,-0.027825553501424752
Tax wedge,Policy,0.020178543637587715,0.0019545153272899065,0.0019545153272899065,0.004991197137979959
Top Universities per country,Human Capital,0.3987312994300132,0.028679434987646052,0.028679434987646052,0.07323795921708273
Total Government Funding allocated to early-stage Startups and Scale-ups,Markets,0.02258869220459766,0.0020997609848540837,0.0020997609848540837,0.005362107358133382
Unemployment Rate,Human Capital,-0.0,-0.0,-0.0,-0.0
Youth Labour Participation rate,Human Capital,0.017374759546455832,0.0009298652014121468,0.0009298652014121468,0.0023745736179162035
