COUNTRY,DOMAIN_SCORE__Culture,DOMAIN_SCORE__Finance,DOMAIN_SCORE__Human Capital,DOMAIN_SCORE__Markets,DOMAIN_SCORE__Policy,DOMAIN_SCORE__Supports,Final_Score_0_100
Afghanistan,1.6168606265353918,12.63812079229449,16.997644977576535,0.007876085107506273,20.086291653341483,0.07318754227049733,4.754186797318823
Albania,16.395419719563677,22.43839061403779,31.160712142584675,0.015752170215012545,53.67458861070858,19.26779900651823,14.320079254840133
Algeria,32.00842682605416,25.332000837097173,18.461044715125833,0.0866369374275418,27.86007623337913,18.49533335137923,15.310609884377246
Angola,72.73280733190195,5.71727031373393,12.9231227990329,0.03150434167499789,33.293909786106354,28.106826501946042,3.3118396994755397
Antigua and Barbuda,21.108026652233026,29.372412732516263,81.49263978155929,0.0,45.54417395290885,5.605674872618194,16.325829775417137
Argentina,36.99679375988577,18.438936661292335,45.09363341858942,11.745430935399556,40.07364039722965,19.728371396606885,41.05592052231109
Armenia,43.440805738943624,32.07378539147686,33.843361049192204,0.06300868210502299,44.710067147133095,13.702153696691555,16.907349852640255
Aruba,,0.0,38.89555487764751,0.0,62.3342199677389,0.045289305928119736,22.79559734355469
Australia,40.33835800667068,35.6167556025863,63.48398323381904,54.481978354408845,67.47616730580471,22.02507117418252,73.18132879970132
Austria,39.223741596715165,27.467569692577015,60.6743293273729,4.502316118199028,49.72979100204722,15.028126529577959,52.9305817158884
Azerbaijan,11.046319277055742,35.52586416811477,34.454353315743816,0.03150434167499789,32.5759570904131,17.734079173201113,20.495630140452462
Bahamas,58.80223546536535,11.901562333183698,66.6785626554327,0.11026519399503343,59.21108872026718,6.269188859528223,16.514270566835403
Bahrain,19.24820894569773,22.27734292452497,38.906397971509364,0.27566298498758357,56.90186246628135,22.82162648324193,19.990468175494236
Bangladesh,12.886951469928853,14.05874766640447,31.071793359692883,0.2835390700950899,33.6359278558455,18.341182542818952,23.922644329700724
Barbados,70.8728210901981,20.79062729088273,48.273368102271135,0.023628255322518818,57.892202226931744,26.842967808267105,13.178448080419292
Belarus,36.17519315769505,19.349622157261916,49.35165601139612,0.03150434167499789,23.64492365720529,18.00606978935406,27.68904127731166
Belgium,27.28155053597645,29.582698644765003,49.84396228013936,38.61625752837806,56.361929246699496,19.46684202932021,52.72440726546128
Benin,38.25237744954744,22.157654243423472,30.547047637666306,0.007876085107506273,39.07808412843223,25.12467896886479,5.536747031192375
Bermuda,45.570836742502145,17.348929771386278,85.47794698855215,1.675781215024532,83.2659088344678,0.11110733830295189,21.01479179070255
Bhutan,0.0,20.836081359345926,39.92004125859033,0.007876085107506273,48.236972932785584,0.004242702154441595,14.989008164385762
Bolivia,13.074094539302447,8.799916869656652,33.87289686939902,0.007876085107506273,36.68556065979216,23.684306789613007,19.0192205316978
Bosnia and Herzegovina,14.317449305516696,40.00825388269387,18.342982313489664,0.023628255322518818,37.53013353715776,19.954513198786756,10.920442546975874
Botswana,18.282865583084654,18.286993297873614,33.07453205154477,0.023628255322518818,55.33821838615054,26.471615657675805,15.068781442127186
Brazil,33.6716429694861,21.02056347184404,42.91904165290426,37.440690215891564,48.394639332948906,21.796753553140423,60.785120407127934
Brunei,20.116422947966818,24.783752704434292,43.73354644460768,0.023628255322518818,55.84796254864555,23.276522317035813,23.16154868301204
Bulgaria,43.3241775182157,24.729905734171055,40.603795454142286,0.10632715144128028,48.255460069275784,11.583741285751687,30.001915730530637
Burkina Faso,51.01144017676054,16.74344986092836,20.433567615728503,0.007876085107506273,28.10105090329798,29.317105525190286,6.060645389923263
Burundi,4.8473729566487735,15.518604412849943,21.5591917386651,0.0,23.323190004875265,50.62315070399477,4.1373795361318315
Cambodia,21.62495649155509,28.87325717374396,23.433330332431897,0.10238910888752716,34.6524045711184,24.08164827696344,7.449224789017885
Cameroon,13.355031094496567,20.496671755578454,28.727481479498092,0.0,27.866209482464615,41.08150691655799,18.283004969000316
Canada,46.248144086787114,41.69566011311994,61.948854783616206,54.38660038998652,66.89724340668775,30.425105902874044,72.50361204317255
Cayman Islands,26.831041708192117,19.883040960633238,100.0,0.5714388012099858,85.19802503557621,0.40508625852400776,25.460371224771723
Central African Republic,0.0,10.538304602851495,26.563787231808227,0.0,15.861372520106984,0.0,11.244288677755993
Chad,30.489371826901706,16.066324344106654,19.467055057355427,0.0,15.864970625061423,0.09057861132590171,10.944929502599267
Chile,47.55585436734553,23.12715727521666,46.21056455798963,16.02168170474642,58.551577418353936,24.83034880470167,43.76973776727912
China,58.00289768232233,52.00315273782559,47.075276325542625,100.0,41.408589284106334,36.65909490007045,77.1147423202032
Colombia,50.493538560310704,26.6500465291598,43.30964202469103,10.794728388175798,45.697291979504236,22.68308627961793,42.90402794501126
Congo,20.779112950783396,31.142847119905824,18.481251431771145,0.015752170215012545,19.566776264880993,4.099206798870169,10.729169493251453
Costa Rica,23.24798277746879,31.127506431919393,42.50721366440922,0.055132596997516714,47.424492822692585,26.758643091858623,22.396732789233045
Croatia,39.2277671435177,24.808736575201067,35.180584237498344,32.61395021232346,53.68934999631437,14.636328309194782,36.08443118858774
Cuba,3.4797652638961325,22.48561447079623,34.664006340738325,0.0,16.982739260026097,43.94326141380044,22.39505011505201
Cyprus,40.24150481115997,23.89251625685835,39.249578473656136,18.44189740853174,54.55242096462014,13.340093173753084,35.13239603852868
Czech Republic,20.457455424319303,31.616008103433767,46.66786249784074,0.3544238373076191,58.61194226348127,12.70106061351561,47.35007273274133
Denmark,31.02371825481925,23.68181608549362,65.22900649400144,54.75590362669935,63.53542519937068,20.70282828602475,69.75439676272896
Djibouti,0.0,17.950420694226317,6.535113967376105,0.007876085107506273,22.072821426955006,0.0,9.74507027301286
Dominican Republic,61.52085285129423,25.69678028724227,34.07403182626969,0.03150434167499789,43.67761398809694,23.257129212201722,13.458741194351564
Ecuador,40.67628663384596,12.866167067824916,36.02381568761978,11.65855333622282,40.505727510594134,26.937503851735496,23.106320574629123
Egypt,29.695774072361175,24.304313569522613,27.518894987785437,0.3268575388088607,27.561353109915387,18.486454617644256,38.90171676349332
El Salvador,17.7136135314589,33.926070768434066,31.38110108089249,0.007876085107506273,29.227558747024997,25.569795584869365,12.557132722097633
Equatorial Guinea,0.0,19.617486028095964,58.10917936285664,0.0,16.93420229258358,0.0,14.858128041578064
Eritrea,,0.0,51.89916562964763,0.0,11.819120731172243,0.0,19.306448152066867
Estonia,40.915915119411494,29.741660062265108,42.83679612077865,43.831814703209695,65.18256911287642,12.57373852679186,50.32255794267978
Eswatini,,22.07317991736733,11.664508284703006,,26.174141019584514,0.0,18.873751527992404
Ethiopia,14.041365635308779,7.299571897519526,25.391236830093728,0.03938042678250416,25.369726037508673,48.36652391125634,23.311699447217105
Fiji,,15.049895398204999,44.954948818317924,0.007876085107506273,48.75255836658187,3.3389594042346404,17.79111462584795
Finland,42.752308321111535,29.33239573970371,56.762800622575874,30.662624610702544,68.43402533782412,12.23983338190562,56.66582955709478
France,47.123760204359264,31.784178250791573,54.64798563747281,53.608483469858484,62.10701510075383,39.1917674585121,73.15532059615762
Gabon,1.5029972026514051,15.459190889400759,22.49056059608708,0.007876085107506273,33.1869412581961,4.605381256283011,16.04207617023661
Gambia,2.2867028873867676,10.085384448819699,30.414480052703063,0.0,37.367219324220564,0.06793395849442628,11.654160949642964
Georgia,25.98253695122737,24.76077092319519,39.85152634207309,0.03938042678250416,52.03941544330869,11.412710031058362,26.2385227113882
Germany,41.53582910838729,34.576003249517115,76.32101718105572,54.25546994134701,64.65041479067722,29.51515663600463,83.36677282716562
Ghana,15.84120642199226,24.562148331532306,27.981554695339184,0.1732738761000564,43.83056166014962,25.09833534121842,26.828431124040257
Greece,34.65286916052147,22.394404598483277,45.30014494283461,21.949310998614433,51.12855207905454,14.508166903663769,43.784710117616186
Guatemala,44.55244094450602,29.95830503162728,33.260814721967954,9.011160419336376,24.356975548902277,29.676645678493323,8.561050877865396
Guinea,2.884129767868551,14.678639993721946,26.671721097858747,0.0,28.14839393202667,0.001060675671194841,12.687711308811467
Guinea-Bissau,80.0346010474627,12.039916318564,28.13599094450111,0.0,22.14568812327845,0.0,17.60744223703725
Haiti,3.6797517710666714,10.998913447143325,11.228035437447643,0.0,12.870497615299511,4.878611400984271,1.7210240609254042
Honduras,16.446065752798233,22.83176671573382,32.13355732703359,0.015752170215012545,28.668322072494746,27.820711771705763,14.55384588396511
Hungary,42.85878030302373,28.250285984405604,43.237231380087884,20.2202829558713,51.15422828719392,19.173816097785913,37.39406053164351
Iceland,26.934688181759682,20.856057651615885,51.366339171622435,21.98908881637448,64.10501970268145,33.56276651498964,35.55041416702676
