COUNTRY,% of Startups Exiting via Acquisition or IPO,Availability of Alternative Finance,Availability of Growth-Stage Capital for Scaleups,Availability of legal and accounting services for entrepreneurs.,"Availability of tech services (fintech services, crypto)",Average Time to Close a Funding Round,"Branches of multinational companies (e.g. Google, Microsoft)",Corporate tax rate,Corruption index / Rule of law,"Cost of Internet (60 Mbps or more, unlimited data cable/adsl) utlities monthly in USD",Cost of internet per month/USD,Cost starting a business (% of income per capita),Diversity and Inclusion Index-wage inequality,Diversity of Startup Funding Sources,E-Government Index,Early-Stage Funding Growth,Early-stage Funding Volume,Ease of getting credit,Ease of starting a business index,Ecosystem Networking Activity: Count of Meetup Groups/ Entrepreneurship Networking events,Emerging Investor Base: New Investors with less than 5 years of activity,Employee Engagement,English proficiency,Entrepreneurship as a good career choice rate,FDI Confidence index emerging markets rankings,Fear of failure rate,Female/Male TEA Ratio,Financial Literacy,Financial market development Index,Global Innovation Index,Government R&D Expenditure % GDP,Government effectiveness,Growth Rates in Biotech,Growth Rates in Cleantech,Growth Rates in Fintech,Growth Rates in Tech,H-index,Human Development Index,IP Protection Score,Industry association memberships,Internet freedom,Internet speed,Migration management,Number of Accelerators,Number of Angel Investors Supporting Startups,Number of Co-Working Spaces Supporting Startups,Number of Corporate Innovation Challenges or Hackathons Hosted,Number of Corporate Venture Capital (CVC) Funds investing in local Startups,Number of Ecosystem Networking Events Organized,Number of Funding Rounds Closed,Number of IPOs in the Last 5 Years,Number of Investors/VCs,Number of Mentions or Features in National or International Media,Number of Research Publications in High-Impact Journals,Number of STEM graduates,Number of Scaleups Featured in National or International Media,Number of Startup or Innovation-Ready Service Providers,Number of Startup-Ready Service Providers,Number of Startups Created,Number of Startups and Projects Supported by Service Providers,Number of VC investors older than 5 years,Number of contributions by top 1000 GitHub users,Number of coworking spaces,Number of cumulative unicorns,Number of exits above 1B,Number of exits above 50M,Number of global startup events,Number of incubators,Number of research institutes,Number of startup competitions,Perceived opportunities rate,Percentage of Scaleup-Ready Service Providers,Percentage of Startups Receiving Investment,Percentage of Startups Securing Series A or Beyond,Percentage of Startups with Access to Seed or Early-Stage Funding,Percentage of enrollment in secondary education,Political transformation index,Presence of international influencers (like Tim Cook),Public Open Data Initiatives,Public capital market activity,Quality of Vocational Trainings,"R&D centers of multinational companies (e.g. Alphabet, Microsoft, Meta)",Ratio of Series A to seed,Ratio of Series C to Series A Startups,Regulatory quality,Salary of software engineers,Score of data science and tech skills,Startup Survival Rate (2+ Years),Startups to total number of companies ratio,Strength of IP Laws Score,Tax wedge,Top Universities per country,Total Capital Invested in Startups,Total Capital Invested in Startups and Scaleups,Total Funding Raised by Startups,Total Funding Raised by Startups and Scaleups,Total Government Funding allocated to early-stage Startups and Scale-ups,Total Growth-Stage Capital Invested in Scaleups,Total Number of Startups and Scaleups,Total Public Funding Allocated to Innovation and Entrepreneurship,Unemployment Rate,Youth Labour Participation rate
Afghanistan,1.095021006,,0.0,0.0,,0.0,0.0,44.44444444,5.19,,,0.0,,0.0,20.45454545,,0.002010012,50.0,91.00529101,0.0,0.0,,21.66666667,,,,,1.724137931,,,,1.8900000000000001,,,,,7.4962518739999995,13.969335600000003,,0.0,,0.190002923,,0.0,0.0,0.0,0.0,0.006326311,0.0,0.0,,0.002906259,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10.86409003,0.0,,,,0.04,0.0,,0.0,,0.0,0.0,2.479338843,0.0,47.36842105,8.044554455,,34.34343434,0.0,,0.0,,,8.96,17.43834167,,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,60.28571429,36.23188406
Albania,10.49947503,,0.0,0.0,62.87878788,0.0,0.0,58.33333333,47.17,5.400442582,5.400442582,0.0,28.153153149999998,0.0,73.86363636,,0.00045713699999999993,70.0,42.85714286,0.0,0.0,60.0,55.00000000000001,,,,,1.724137931,,24.95636998,,56.60000000000001,,,,,10.61969015,69.67632027,,0.0,,22.85296697,43.42105263,0.067658999,0.0,0.0,0.0,0.012652622,0.0,0.0,,0.004359388,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,6.111092505,0.25619129,,,,0.026666667,0.0,,0.0,,0.0,0.0,23.1785164,0.0,86.31578947,72.15346535,,66.10549944,0.0,44.59791283,0.0,19.76047904,0.0,57.550000000000004,14.86360263,,0.0,0.302774815,,,1.8518518519999998,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,71.42857143,28.985507250000005
Algeria,3.3356024499999997,,0.0,0.0,86.36363636,0.0,0.0,27.77777778,22.64,6.295023306,6.295023306,0.0,,0.0,53.40909091,100.0,0.026155278,10.0,82.53968254,0.0,0.0,7.5,31.25,,,,,18.96551724,,10.47120419,,32.55,,,,,8.32083958,62.18057922,15.06512657,0.0,,3.8906752409999994,,0.0,0.0,0.0,0.0,0.069589422,0.0,0.0,,0.018890681,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.011222085,15.14635943,0.9393680620000001,,,,0.106666667,0.0,0.733496333,0.0,,0.0,0.0,16.18381619,0.0,50.52631579,44.05940594,,31.87429854,0.0,31.98281154,0.0,47.90419162,25.0,14.150000000000002,5.901918704,9.090909091,0.0,,15.06512657,,9.87654321,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,66.85714286,13.043478259999999
Angola,10.63393697,,0.0,0.0,100.0,0.0,0.0,30.55555556,16.04,,,0.0,,0.0,32.95454545,,0.0016733350000000002,5.0,93.12169312,0.0,0.0,,5.833333333,70.09865222,,56.69081204999999,80.0,3.448275862,,0.0,,13.209999999999999,,,,,,35.94548552,,0.0,58.82352941,5.752703888,,0.0,0.0,0.0,0.0,0.025305245,0.0,0.0,,0.014531293,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10.92270078,0.085397097,,,,0.016,0.141843972,,0.0,78.12694075,0.0,0.0,18.72677731,0.0,6.315789474,37.9950495,,37.59820426,0.0,0.0,0.0,,,29.719999999999995,6.174733436,,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,58.85714286,56.52173913
Antigua and Barbuda,28.590878150000005,,0.0,0.0,,0.0,0.0,30.55555556,61.79,,,0.0,,0.0,59.09090909,88.98,0.00218438,25.0,59.25925925999999,0.0,0.0,,,,,,,,,,,46.23,,,,,,75.97955707,,0.0,,10.57000877,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.002906259,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.02244417,,,,,,,0.0,,0.0,,0.0,0.0,32.36763237,0.0,88.42105263,,,32.54769921,0.0,,0.0,0.0,,61.31999999999999,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,
Argentina,17.64797411,,0.0,0.0,56.81818182,0.0,0.0,2.77777778,34.91,7.872310372,7.872310372,0.0,20.4954955,0.0,82.95454545,44.41,0.140655015,50.0,66.13756614,0.0,0.0,60.0,69.16666667,49.5206336,40.25974026,62.180709109999995,51.0,25.862068970000003,5.042016807,28.27225131,9.314846704,41.98,,,,,32.65867066,79.89778535,28.13959204,0.0,72.94117647,26.35194388,63.157894739999996,1.623815968,0.0,0.0,0.0,0.525083824,0.0,0.0,0.102669405,0.264469535,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.527437998,30.55027128,2.134927412,0.0,,0.0,0.274666667,1.560283688,7.090464548,0.0,28.803875290000004,0.0,0.0,22.03145435,0.0,90.52631579,62.37623762,0.0,49.2704826,0.0,57.22836096,0.0,14.97005988,21.0,25.94,8.528660548,70.70707071,0.0,2.221901333,51.26566724,,27.16049383,0.0,0.0,0.0,0.0,27.77777778,0.0,0.0,0.0,82.85714286,36.23188406
Armenia,6.410157754999999,33.32976617,0.0,0.0,46.96969697,0.0,0.0,50.0,46.23,6.464522812000001,6.464522812000001,0.0,11.03603604,0.0,73.86363636,60.88,0.004165749,70.0,24.33862434,0.0,0.0,70.0,57.91666667,88.21731277,,31.109416700000004,34.0,8.620689655,,32.80977312,3.703431474,39.15,,,,,6.246876562,69.16524702,,0.0,76.47058824,16.80502777,,0.067658999,0.0,0.0,0.0,0.050610488999999995,0.0,0.0,,0.02034381,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.04488834,14.761705410000001,0.25619129,,,,0.096,0.141843972,0.244498778,0.0,51.16134642,0.0,0.0,22.19762846,0.0,87.36842105,63.98514851,,63.86083053,0.0,34.76058932,0.0,0.0,20.0,51.89,28.800055199999996,65.65656566,0.0,1.075083496,,,1.234567901,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,62.571428569999995,31.88405797
Aruba,,,0.0,0.0,,0.0,0.0,38.88888889,87.26,,,0.0,,0.0,,,,,,0.0,0.0,,,,,,,,,,,82.08,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.085397097,,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,75.78947368,,,41.41414141,0.0,,0.0,,,77.83,11.8852418,,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,
Australia,32.26917133,24.98261009,0.0,0.0,16.66666667,0.0,0.0,16.66666667,91.04,21.29572955,21.29572955,0.0,13.28828829,0.0,96.59090909,51.41,1.850282198,95.0,6.878306878,0.0,0.0,45.0,,45.3522301,,32.72969882,42.0,87.93103448,48.31932773,66.14310646,,92.92,68.88888889,75.0,62.29508197,34.02061856,67.54122939,96.42248722,81.83828951,0.0,78.82352941,22.58403975,72.36842105,6.224627876,0.0,0.0,0.0,7.730752198,0.0,0.0,19.04517454,4.100730924,0.0,0.0,24.81371719,0.0,0.0,0.0,0.0,0.0,5.173381214,61.82128742999999,20.32450897,1.221374046,4.545454545,9.972862958,7.709333333,4.822695035,3.6674816629999993,0.0,41.03838033,0.0,0.0,16.35855008,0.0,91.57894737,,14.634146339999997,79.34904602,0.0,58.54818907,0.0,29.94011976,12.0,99.53,97.07984231,41.41414141,0.0,10.61807985,81.81371344,44.64247402,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,89.71428571,82.60869565
Austria,23.42515906,,0.0,0.0,12.12121212,0.0,0.0,36.11111111,95.75,14.86416498,14.86416498,0.0,,0.0,89.77272727,51.65,0.355979597,55.00000000000001,13.75661376,0.0,0.0,10.0,85.0,35.33416701,,50.781547849999995,52.0,68.96551724,,69.98254799,0.057862129,91.51,,,,,47.6011994,93.0153322,,0.0,,28.418591059999997,47.36842105,1.420838972,0.0,0.0,0.0,1.379135826,0.0,0.0,0.05133470200000001,0.728017786,0.0,0.0,63.39663599000001,0.0,0.0,0.0,0.0,0.0,1.021209741,50.90394534,3.5866780530000004,0.152671756,0.0,0.0,3.333333333,2.978723404,3.4229828850000006,0.0,45.69618681,0.0,0.0,50.88974074,0.0,86.31578947,,5.853658537,67.45230079,0.0,81.70656845,0.0,26.946107780000002,10.0,87.26,60.69567757000001,86.86868687,0.0,4.453584621,,10.43861086,4.938271605,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,85.14285714,63.76811594
