INDICATOR,DOMAIN,coef_std,coef_original_scale,weight_indicator,weight_indicator_norm
% of Startups Exiting via Acquisition or IPO,Culture,0.012252117367545796,0.0007390579228055168,0.0007390579228055168,0.0005032394249974821
Availability of Alternative Finance,Finance,0.026165385377804638,0.0018796953380812906,0.0018796953380812906,0.0012799224146270332
"Availability of tech services (fintech services, crypto)",Supports,0.14439027769823212,0.005466359981442217,0.005466359981442217,0.003722154609272926
Corporate tax rate,Policy,0.008834704317907172,0.00040097244541136977,0.00040097244541136977,0.000273030214063143
Corruption index / Rule of law,Policy,-0.029578855684502657,-0.0010820501813172186,-0.0010820501813172186,-0.0007367897620222003
"Cost of Internet (60 Mbps or more, unlimited data cable/adsl) utlities monthly in USD",Supports,-0.0051405778913580094,-0.00048755066428718955,-0.00048755066428718955,-0.00033198306706684323
Cost of internet per month/USD,Supports,-0.005140577891333819,-0.0004875506642848952,-0.0004875506642848952,-0.000331983067065281
Diversity and Inclusion Index-wage inequality,Human Capital,0.013909034226155885,0.0010961523073360815,0.0010961523073360815,0.0007463921836592418
E-Government Index,Policy,0.06651674622216065,0.003225884200084697,0.003225884200084697,0.002196569524343333
Early-Stage Funding Growth,Finance,0.001996526514608382,0.00010191220222300079,0.00010191220222300079,6.939407110642128e-05
Early-stage Funding Volume,Finance,3.0391366508774933,0.3524068485461547,0.3524068485461547,0.23996092099835328
Ease of getting credit,Finance,0.013860715506045862,0.0006306210541577748,0.0006306210541577748,0.0004294025771092048
Ease of starting a business index,Policy,0.03396701245588178,0.0013166906141363639,0.0013166906141363639,0.0008965611586196764
Employee Engagement,Human Capital,0.029762990244922,0.0014452353313099168,0.0014452353313099168,0.0009840898455611808
English proficiency,Human Capital,0.00588724951860618,0.0002732280720853668,0.0002732280720853668,0.0001860464973671536
Entrepreneurship as a good career choice rate,Culture,-0.025570946289337062,-0.0018433871841049762,-0.0018433871841049762,-0.0012551994613023468
FDI Confidence index emerging markets rankings,Policy,-0.02888067439232453,-0.002742063041180192,-0.002742063041180192,-0.0018671259526074951
Fear of failure rate,Culture,-0.06420666996217594,-0.004998108371841887,-0.004998108371841887,-0.0034033126572444584
Female/Male TEA Ratio,Culture,0.034728280515831836,0.0022974249033379775,0.0022974249033379775,0.001564362889097858
Financial Literacy,Human Capital,0.057807598404477425,0.002560944364883928,0.002560944364883928,0.0017437985980076824
Financial market development Index,Finance,-0.03616331518280902,-0.0032057995482456855,-0.0032057995482456855,-0.0021828934803813514
Global Innovation Index,Culture,0.2810617265531668,0.012296396368128654,0.012296396368128654,0.008372863948671278
Government R&D Expenditure % GDP,Policy,0.08679192220728495,0.00526689449990615,0.00526689449990615,0.003586334545462486
Government effectiveness,Policy,0.004142522326069942,0.00015360235901229754,0.00015360235901229754,0.0001045909399552525
Growth Rates in Biotech,Markets,0.1547738092572238,0.012811312077568282,0.012811312077568282,0.008723480426141553
Growth Rates in Cleantech,Markets,0.016393080321543407,0.0015852620662804824,0.0015852620662804824,0.0010794368696798921
Growth Rates in Fintech,Markets,-0.324735871280259,-0.029671314732666244,-0.029671314732666244,-0.020203795811164833
Growth Rates in Tech,Markets,0.2653159830320729,0.025429005770925422,0.025429005770925422,0.017315122194807544
H-index,Human Capital,-0.005619198140375485,-0.0002982415434522722,-0.0002982415434522722,-0.0002030786738169891
Human Development Index,Human Capital,-0.04495773766974143,-0.0018877924052225629,-0.0018877924052225629,-0.0012854358707264845
IP Protection Score,Policy,-0.024058392385787532,-0.001374423689094009,-0.001374423689094009,-0.0009358727721596982
Internet freedom,Policy,0.017321552740285656,0.0009706804310650708,0.0009706804310650708,0.0006609558559783401
Internet speed,Supports,-0.06571872867106457,-0.002980504725640543,-0.002980504725640543,-0.002029485698008444
Migration management,Policy,-0.039104918160835486,-0.003046883225421247,-0.003046883225421247,-0.0020746841554379132
Number of Accelerators,Supports,1.9583446314155297,0.22648803882886484,0.22648803882886484,0.15422026733219746
Number of Corporate Venture Capital (CVC) Funds investing in local Startups,Markets,1.260300247886841,0.13047548987847984,0.13047548987847984,0.08884338896396561
Number of IPOs in the Last 5 Years,Finance,-0.4283396596419816,-0.036568751642501895,-0.036568751642501895,-0.024900399524288835
Number of Investors/VCs,Finance,0.8390812226172497,0.08080202302265736,0.08080202302265736,0.055019724908971473
Number of STEM graduates,Human Capital,-0.017951682107321825,-0.0015699343319605828,-0.0015699343319605828,-0.0010689999066657086
Number of VC investors older than 5 years,Finance,-0.38191005119789845,-0.04373075114342735,-0.04373075114342735,-0.02977714923423874
Number of contributions by top 1000 GitHub users,Human Capital,-0.002443410349619711,-0.00012484940314459573,-0.00012484940314459573,-8.501247319189987e-05
Number of coworking spaces,Supports,-0.03933886296936254,-0.0045191771226482215,-0.0045191771226482215,-0.00307719872351836
Number of cumulative unicorns,Culture,-0.47890684094457564,-0.05576798074998489,-0.05576798074998489,-0.037973541315080746
Number of exits above 1B,Culture,0.6613314032891061,0.07938123848345072,0.07938123848345072,0.0540522841002166
Number of exits above 50M,Culture,0.7973533054218074,0.09413999931489943,0.09413999931489943,0.06410182160642378
Number of global startup events,Supports,0.3057042667959254,0.034757275238629794,0.034757275238629794,0.0236669287559618
Number of incubators,Supports,1.2915560036108582,0.14235988968631122,0.14235988968631122,0.09693571615671133
Number of research institutes,Supports,0.10303055549655639,0.008898106032266356,0.008898106032266356,0.006058899614046493
Perceived opportunities rate,Culture,0.08564850223852252,0.006011302540088983,0.006011302540088983,0.004093216973138851
Percentage of Startups Securing Series A or Beyond,Finance,0.0010269960629360416,6.661641498596272e-05,6.661641498596272e-05,4.53604586845778e-05
Percentage of enrollment in secondary education,Human Capital,0.025909677437649055,0.0011514831246587389,0.0011514831246587389,0.0007840680515917504
Political transformation index,Policy,-0.037565305986777826,-0.002030710959429607,-0.002030710959429607,-0.0013827519928074202
Presence of international influencers (like Tim Cook),Markets,0.013700286480968497,0.000960518629340634,0.000960518629340634,0.0006540364805154109
Public Open Data Initiatives,Policy,0.0060999241682800805,0.00034872587825997503,0.00034872587825997503,0.00023745447419210296
Quality of Vocational Trainings,Human Capital,-0.06191830889706416,-0.003745470331068391,-0.003745470331068391,-0.0025503661859098826
Ratio of Series A to seed,Culture,-0.008749676993145737,-0.0005861416078103889,-0.0005861416078103889,-0.0003991156262311271
Ratio of Series C to Series A Startups,Culture,-0.007279107841970177,-0.000532319273548855,-0.000532319273548855,-0.00036246691479728164
Regulatory quality,Policy,-0.00337926436377115,-0.00012393355425849452,-0.00012393355425849452,-8.438885323924909e-05
Salary of software engineers,Human Capital,-0.01359288041477106,-0.0005969130953736337,-0.0005969130953736337,-0.000406450149061378
Score of data science and tech skills,Human Capital,0.013240415140562251,0.0005593868460128774,0.0005593868460128774,0.00038089777005577646
Startups to total number of companies ratio,Culture,0.1313016800772219,0.014511695208907967,0.014511695208907967,0.00988130554767263
Strength of IP Laws Score,Policy,0.026076583864609402,0.001526098049013671,0.001526098049013671,0.0010391508987009621
Tax wedge,Policy,-0.03176702619786449,-0.0029933644184298967,-0.0029933644184298967,-0.002038242121835676
Top Universities per country,Human Capital,0.06888306564750059,0.004617614076152594,0.004617614076152594,0.003144226427777313
Total Government Funding allocated to early-stage Startups and Scale-ups,Markets,-0.016553605384677306,-0.0014828122392295318,-0.0014828122392295318,-0.001009676718999823
Unemployment Rate,Human Capital,-0.00802633181587136,-0.0006208115367076952,-0.0006208115367076952,-0.0004227230791040398
Youth Labour Participation rate,Human Capital,0.0017469155714171358,9.172653378776113e-05,9.172653378776113e-05,6.245844431940709e-05
