COUNTRY,POPULATION,ridge_HG_Normalized_model_pred,ridge_HG_Normalized_index_0_100
Afghanistan,"43,844,111",0.07359595554894205,0.33714909020786576
Albania,"2,771,508",-0.05608913653083292,0.20781376768551543
Algeria,"47,435,312",-0.08336330660702806,0.1806131579102283
Angola,"39,040,039",0.1381999642796834,0.40157885751132183
Antigua and Barbuda,"94,209",0.0019819508102070227,0.2657282333347888
Argentina,"45,851,378",0.6651170976649712,0.927074859372639
Armenia,"2,952,365",-0.000924731587800931,0.26282939045788245
Aruba,"108,147",-0.028325094403388817,0.2355029282936461
Australia,"26,974,026",4.374836971148667,4.626789364795067
Austria,"9,113,574",1.1927094453351623,1.4532442544197814
Azerbaijan,"10,397,713",0.003621091411118549,0.26736295306146296
Bahamas,"403,033",0.01756857214266727,0.28127281648415664
Bahrain,"1,643,332",0.014253518463876347,0.2779667037317241
Bangladesh,"175,686,899",0.3382370278966671,0.6010764074950284
Barbados,"282,623",-0.02983888199426854,0.23399322349136764
Belarus,"8,997,603",0.012534826752492068,0.2762526474493595
Belgium,"11,758,603",1.7341965599174727,1.9932709412429621
Benin,"14,814,460",-0.07037847790970919,0.19356296563702652
Bermuda,"64,555",0.05580610743489545,0.31940722253013387
Bhutan,"796,682",0.012211971444134662,0.27593066290383617
Bolivia,"12,581,843",0.060497875258965994,0.32408633633569667
Bosnia and Herzegovina,"3,140,095",0.05480666481772922,0.31841047547801893
Botswana,"2,562,122",0.08725977743109592,0.3507760598284697
Brazil,"212,812,405",2.6451135155233843,2.901731091557662
Brunei,"466,330",-0.10071132151654139,0.1633119317826774
Bulgaria,"6,714,560",0.01069185321149968,0.27441464453397596
Burkina Faso,"24,074,580",0.1764262960577685,0.43970209025979945
Burundi,"14,390,003",-0.07270831627786101,0.19123941100220004
Cambodia,"17,847,982",0.08516720276956136,0.3486891289838266
Cameroon,"29,879,337",-0.008864453591660881,0.2549110824269536
Canada,"40,126,723",8.234440337153849,8.475983116714987
Cayman Islands,"75,844",0.185425851357925,0.4486773731441842
Central African Republic,"5,513,282",-0.010388132692980223,0.2533915127923153
Chad,"21,003,705",0.053510389523163226,0.31711769632652387
Chile,"19,859,921",0.3621879843533804,0.62496276658511
China,"1,416,096,094",13.038371650154827,13.266957898612045
Colombia,"53,425,635",0.4781539620432822,0.7406159761068096
Congo,"6,484,437",0.11453460022548478,0.377977320561525
Costa Rica,"5,152,950",-0.07040337338152125,0.19353813731000355
Croatia,"3,848,160",0.29050182270500313,0.553469947414508
Cuba,"10,937,203",-0.11537023791217482,0.1486925514865123
Cyprus,"1,370,754",0.5153250087364756,0.7776867699463991
Czech Republic,"10,609,239",0.7512714949316037,1.0129968923411174
Denmark,"6,002,507",2.2551758573730583,2.5128451219239354
Djibouti,"1,184,076",-0.027710775353712247,0.23611559048285646
Dominican Republic,"11,520,487",0.22484425641021488,0.4879894640637668
Ecuador,"18,289,896",0.060937525708442575,0.3245248010178605
Egypt,"118,365,995",0.8264174567884248,1.087940180402521
El Salvador,"6,365,503",-0.07346083639977463,0.1904889204784906
Equatorial Guinea,"1,938,431",0.04077498053317652,0.3044166356050591
Eritrea,"3,607,003",0.052667887276272474,0.31627746636577875
Estonia,"1,344,232",0.8143875475922339,1.0759427166936866
Eswatini,"1,256,174",0.11568388010406583,0.37912350075371926
Ethiopia,"135,472,051",-0.03300013532998203,0.2308404962719749
Fiji,"933,154",-0.012322178958716234,0.25146268278155165
Finland,"5,623,329",1.5535903652553358,1.813151853832415
France,"66,650,804",7.3478733692217855,7.591807280493036
Gabon,"2,593,130",0.2397532419667936,0.5028582390672577
Gambia,"2,822,093",0.04815766223448392,0.31177940570920554
Georgia,"3,806,671",0.21022271625484046,0.473407359201586
Germany,"84,075,075",8.675422904485675,8.91577632392119
Ghana,"35,064,272",0.10698672017169564,0.3704497976561449
Greece,"9,938,844",0.1561274657167646,0.4194580072516674
Guatemala,"18,687,881",0.00846069116810555,0.2721895000871147
Guinea,"15,099,727",-0.05665766201904443,0.20724677554940482
Guinea-Bissau,"2,249,515",0.012596159880620794,0.27631381515784953
Haiti,"11,906,095",0.1366192943059521,0.4000024507125498
Honduras,"11,005,850",-0.06366201471483501,0.2002613140715882
Hungary,"9,632,287",0.5584135409526412,0.8206590894460402
Iceland,"398,266",0.23748461011140676,0.5005957258670477
India,"1,463,865,525",22.681479166874396,22.884057295244485
Indonesia,"285,721,236",1.3136831544837138,1.5738916892061041
Iran,"92,417,681",0.020869944638743254,0.28456528495295913
Iraq,"47,020,774",-0.020472795862836346,0.24333404864832348
Ireland,"5,308,039",1.3784419533195773,1.638475829135189
Isle of Man,"84,118",0.033045735194715764,0.2967082365695766
Israel,"9,517,181",4.089151872571585,4.341874778455663
