INDICATOR,DOMAIN,coef_std,coef_original_scale,weight_indicator,weight_indicator_norm
% of Startups Exiting via Acquisition or IPO,Culture,0.009859215096822629,0.0005947160650983936,0.0005947160650983936,0.0011247495835057383
Availability of Alternative Finance,Finance,-0.031553021291807516,-0.0022667377593796633,-0.0022667377593796633,-0.004286940441666393
"Availability of tech services (fintech services, crypto)",Supports,-0.05585517274987866,-0.002114577836844321,-0.002114577836844321,-0.003999169823817728
Corporate tax rate,Policy,-0.2141624946638031,-0.009719992442382818,-0.009719992442382818,-0.018382818445370645
Corruption index / Rule of law,Policy,-0.15641831578691112,-0.005722076227825072,-0.005722076227825072,-0.010821807635160384
"Cost of Internet (60 Mbps or more, unlimited data cable/adsl) utlities monthly in USD",Supports,0.05676454617287056,0.00538375116172643,0.00538375116172643,0.010181954435430457
Cost of internet per month/USD,Supports,0.0567645461728705,0.005383751161726425,0.005383751161726425,0.010181954435430447
Diversity and Inclusion Index-wage inequality,Human Capital,-0.01938833805108276,-0.0015279688829969904,-0.0015279688829969904,-0.0028897527166619587
E-Government Index,Policy,0.38733770874204443,0.018784842399757747,0.018784842399757747,0.03552660656956168
Early-Stage Funding Growth,Finance,0.030333145677204833,0.0015483479200983224,0.0015483479200983224,0.002928294324728623
Early-stage Funding Volume,Finance,0.08479893066951981,0.009832964868065733,0.009832964868065733,0.018596476182552286
Ease of getting credit,Finance,0.06801233374034961,0.0030943575445554457,0.0030943575445554457,0.0058521663760348576
Ease of starting a business index,Policy,-0.007749454951581868,-0.0003003983530395396,-0.0003003983530395396,-0.0005681247612020234
Employee Engagement,Human Capital,-0.08796269993408476,-0.004271304755873496,-0.004271304755873496,-0.008078053590834081
English proficiency,Human Capital,0.20475722083902598,0.009502811205571251,0.009502811205571251,0.0179720770513095
Entrepreneurship as a good career choice rate,Culture,-0.001923582154807439,-0.00013866935746619945,-0.00013866935746619945,-0.00026225674941085
FDI Confidence index emerging markets rankings,Policy,0.19488271660692671,0.018503054579454926,0.018503054579454926,0.03499367875388185
Fear of failure rate,Culture,-0.12357056928731106,-0.009619235777716176,-0.009619235777716176,-0.018192263618840975
Female/Male TEA Ratio,Culture,0.01941961998848794,0.0012846912634955575,0.0012846912634955575,0.002429656853663481
Financial Literacy,Human Capital,0.16560823319742407,0.007336638837991882,0.007336638837991882,0.013875329693671803
Financial market development Index,Finance,-0.09380399087423381,-0.008315520577914636,-0.008315520577914636,-0.015726627975142196
Global Innovation Index,Culture,0.32520425797442315,0.014227623610289869,0.014227623610289869,0.026907821511938445
Government R&D Expenditure % GDP,Policy,-0.02473809691926487,-0.001501210519235224,-0.001501210519235224,-0.0028391462840084833
Government effectiveness,Policy,-0.06154769021229657,-0.0022821531579615756,-0.0022821531579615756,-0.004316094628264181
Growth Rates in Biotech,Markets,-0.07433472492891198,-0.006153013638643373,-0.006153013638643373,-0.011636812814572737
Growth Rates in Cleantech,Markets,0.022129412305235605,0.0021399832849271164,0.0021399832849271164,0.004047217571014826
Growth Rates in Fintech,Markets,0.07793646998676287,0.00712110282431498,0.00712110282431498,0.013467699808016242
Growth Rates in Tech,Markets,0.023397228227543268,0.002242489294547829,0.002242489294547829,0.004241080825084912
H-index,Human Capital,0.5492612050544661,0.029152292811470904,0.029152292811470904,0.05513392208854221
Human Development Index,Human Capital,-0.07838064400526532,-0.0032912328809014176,-0.0032912328809014176,-0.006224504480809358
IP Protection Score,Policy,-0.02683717690929236,-0.0015331719219247714,-0.0015331719219247714,-0.002899592901265039
Internet freedom,Policy,-0.07025585639664585,-0.003937059569338428,-0.003937059569338428,-0.007445916414109391
Internet speed,Supports,0.1824135425012681,0.008272899315613837,0.008272899315613837,0.015646021026995634
Migration management,Policy,-0.0638760677966274,-0.004976942252505053,-0.004976942252505053,-0.009412581993578787
Number of Accelerators,Supports,0.1582580645019746,0.01830298818854769,0.01830298818854769,0.03461530560566501
Number of Corporate Venture Capital (CVC) Funds investing in local Startups,Markets,-0.012850713486180443,-0.0013303997521294842,-0.0013303997521294842,-0.0025161024813684938
Number of IPOs in the Last 5 Years,Finance,0.10452125867211035,0.008923320228943574,0.008923320228943574,0.01687612173269964
Number of Investors/VCs,Finance,-0.11304116674478404,-0.010885662450328222,-0.010885662450328222,-0.020587377785338715
Number of STEM graduates,Human Capital,0.06589008558345238,0.005762307224184431,0.005762307224184431,0.010897894021681192
Number of VC investors older than 5 years,Finance,0.10596391086527078,0.012133436660540484,0.012133436660540484,0.022947215707344825
Number of contributions by top 1000 GitHub users,Human Capital,0.3496809197577196,0.017867426210091707,0.017867426210091707,0.03379155426849834
Number of coworking spaces,Supports,0.11527092706469454,0.013242114722607109,0.013242114722607109,0.025043989717216372
Number of cumulative unicorns,Culture,0.08281309062169438,0.009643459747888397,0.009643459747888397,0.01823807691019296
Number of exits above 1B,Culture,-0.014674711700023858,-0.0017614418177360237,-0.0017614418177360237,-0.003331305587886556
Number of exits above 50M,Culture,-0.09184142102796089,-0.010843312812352159,-0.010843312812352159,-0.020507284543419456
Number of global startup events,Supports,-0.11310888810535484,-0.012859999623222785,-0.012859999623222785,-0.024321319145314692
Number of incubators,Supports,0.07086798876267594,0.007811321409477961,0.007811321409477961,0.014773067380458636
Number of research institutes,Supports,0.13125308121997628,0.011335509433374373,0.011335509433374373,0.02143814546510328
Perceived opportunities rate,Culture,-0.034269981546700495,-0.002405263626756411,-0.002405263626756411,-0.004548925817176621
Percentage of Startups Securing Series A or Beyond,Finance,-0.12698030477276093,-0.008236616461413899,-0.008236616461413899,-0.01557740151670373
Percentage of enrollment in secondary education,Human Capital,-0.039535950144419726,-0.0017570646920712614,-0.0017570646920712614,-0.0033230274017784014
Political transformation index,Policy,-0.06587950487084497,-0.0035613241800854633,-0.0035613241800854633,-0.006735311392029284
Presence of international influencers (like Tim Cook),Markets,-0.322594712243716,-0.022616916169403044,-0.022616916169403044,-0.042773969856542526
Public Open Data Initiatives,Policy,0.3311838252658524,0.01893341083351474,0.01893341083351474,0.03580758482758575
Quality of Vocational Trainings,Human Capital,-0.1280453739119806,-0.00774553048299776,-0.00774553048299776,-0.014648641084449935
Ratio of Series A to seed,Culture,-0.030914420298815783,-0.0020709596517298765,-0.0020709596517298765,-0.0039166774574266655
Ratio of Series C to Series A Startups,Culture,-0.0202877924317939,-0.0014836410125611563,-0.0014836410125611563,-0.0028059181664684104
Regulatory quality,Policy,0.21164720172317006,0.007762100603796794,0.007762100603796794,0.014679979125510369
Salary of software engineers,Human Capital,0.1281991371583625,0.005629693004749064,0.005629693004749064,0.010647088979022406
Score of data science and tech skills,Human Capital,-0.25500973104692976,-0.010773762577574031,-0.010773762577574031,-0.020375748500944327
Startups to total number of companies ratio,Culture,0.21172724729125486,0.023400471938399774,0.023400471938399774,0.04425586025189746
Strength of IP Laws Score,Policy,-0.17289124379843362,-0.010118234475123363,-0.010118234475123363,-0.01913598888542812
Tax wedge,Policy,0.024983839480316718,0.0023541938005255127,0.0023541938005255127,0.004452340624420125
Top Universities per country,Human Capital,0.49593762821214893,0.03324545084339237,0.03324545084339237,0.06287505783685121
Total Government Funding allocated to early-stage Startups and Scale-ups,Markets,0.07043904841358298,0.006309675788455342,0.006309675788455342,0.011933098215443779
Unemployment Rate,Human Capital,-0.040424322422057866,-0.003126694273164759,-0.003126694273164759,-0.005913322823909267
Youth Labour Participation rate,Human Capital,0.046524792332253956,0.002442910238856665,0.002442910238856665,0.004620124518145221
