COUNTRY,POPULATION,ridge_HG_log_raw_model_pred,ridge_HG_log_raw_index_0_100
Afghanistan,"43,844,111",1.0331810061943218,2.2517943904332087
Albania,"2,771,508",2.1850383071109487,14.679606484594146
Algeria,"47,435,312",2.0493095828884984,13.215179355405079
Angola,"39,040,039",0.8878873931470213,0.6841681575685532
Antigua and Barbuda,"94,209",2.3002675322591104,15.9228569781731
Argentina,"45,851,378",4.430960101536438,38.91168281652255
Armenia,"2,952,365",2.4000187623646836,16.999109690142674
Aruba,"108,147",2.8516531021690925,21.871958701815423
Australia,"26,974,026",7.689721513951769,74.07165832822147
Austria,"9,113,574",5.665529639400448,52.231907658210275
Azerbaijan,"10,397,713",2.643517366791783,19.626305696629114
Bahamas,"403,033",2.3443463580975625,16.39843964315738
Bahrain,"1,643,332",2.7308213603847156,20.568260595538362
Bangladesh,"175,686,899",2.7582155972286615,20.86382709295829
Barbados,"282,623",2.074816670682683,13.49038470759856
Belarus,"8,997,603",3.299804978834407,26.707234137765667
Belgium,"11,758,603",5.733056317099085,52.960477821470775
Benin,"14,814,460",1.1849649476875133,3.889447164164281
Bermuda,"64,555",2.8594202477629533,21.95576129252842
Bhutan,"796,682",2.249120117787281,15.371008710464743
Bolivia,"12,581,843",2.472828530652487,17.78468106098882
Bosnia and Herzegovina,"3,140,095",1.6641770489475247,9.05984278779589
Botswana,"2,562,122",2.162519184378613,14.436639386482161
Brazil,"212,812,405",6.392073338699904,60.07085486625837
Brunei,"466,330",2.9633687733933947,23.077300169759273
Bulgaria,"6,714,560",3.4329633868038334,28.143929179490662
Burkina Faso,"24,074,580",1.1976853831646106,4.026692621339802
Burundi,"14,390,003",1.0388230890658132,2.312668897796907
Cambodia,"17,847,982",1.3913050975404486,6.115726936678309
Cameroon,"29,879,337",2.1506957636500132,14.309072151366914
Canada,"40,126,723",7.951534853814268,76.8964587518213
Cayman Islands,"75,844",2.9853974591635932,23.314975763094907
Central African Republic,"5,513,282",1.8107992415710885,10.641803554385167
Chad,"21,003,705",1.6978223750674433,9.422854586681366
Chile,"19,859,921",4.713950548419201,41.96497083709844
China,"1,416,096,094",8.107249767462994,78.57652423002322
Colombia,"53,425,635",4.545595021032347,40.14852112782266
Congo,"6,484,437",1.5537049206815694,7.8679183622279085
Costa Rica,"5,152,950",2.929017581789422,22.70667252853586
Croatia,"3,848,160",4.151077150723785,35.89192271404203
Cuba,"10,937,203",2.695090794692491,20.18275037991732
Cyprus,"1,370,754",4.010151886197458,34.37142820013011
Czech Republic,"10,609,239",5.047802283707156,45.56702000600723
Denmark,"6,002,507",7.182323076825513,68.59714995946959
Djibouti,"1,184,076",1.6059057884426555,8.431132724953798
Dominican Republic,"11,520,487",1.9997281364757666,12.68022689307855
Ecuador,"18,289,896",2.8699778675562593,22.069671335767616
Egypt,"118,365,995",4.139320974406832,35.76508100361778
El Salvador,"6,365,503",1.9252962754746712,11.877154167312778
Equatorial Guinea,"1,938,431",2.0541625239552257,13.267539521576124
Eritrea,"3,607,003",2.531743115946655,18.4203321916095
Estonia,"1,344,232",5.275527375883519,48.02402978702886
Eswatini,"1,256,174",2.3303217002579,16.247122451194866
Ethiopia,"135,472,051",2.618862172434703,19.360291736070835
Fiji,"933,154",2.467146069140678,17.72337089362272
Finland,"5,623,329",6.1169168560454725,57.10209036721993
France,"66,650,804",7.9023273278879795,76.36554065515794
Gabon,"2,593,130",2.128299724923938,14.067433051871065
Gambia,"2,822,093",1.8359702753896314,10.913383096628538
Georgia,"3,806,671",3.2528081662801416,26.20016824081461
Germany,"84,075,075",8.559195588695625,83.45273392939373
Ghana,"35,064,272",2.985671344746544,23.317930815389587
Greece,"9,938,844",4.613771783051085,40.88410528992586
Guatemala,"18,687,881",1.5383406154529227,7.702147221838378
Guinea,"15,099,727",1.7865494938296287,10.380164106493627
Guinea-Bissau,"2,249,515",2.3153637604663304,16.085735736974733
Haiti,"11,906,095",1.1436654248296474,3.443851421316954
Honduras,"11,005,850",2.048642047078569,13.207977066019646
Hungary,"9,632,287",3.974549111185533,33.98729676516261
Iceland,"398,266",4.094415792330926,35.28058247723839
India,"1,463,865,525",8.947240292286144,87.63949096650211
Indonesia,"285,721,236",5.2113620431674414,47.331726411150484
Iran,"92,417,681",2.782092155691596,21.121440064457854
Iraq,"47,020,774",1.9255456673024938,11.879844947474115
Ireland,"5,308,039",5.063844200467003,45.740102146445025
Isle of Man,"84,118",2.675074525461463,19.966787488827084
Israel,"9,517,181",7.01563654001846,66.79870760344512
Italy,"59,146,260",6.040809884536151,56.28094425804405
Ivory Coast,"32,711,547",1.7140921317612312,9.598394975970221
Jamaica,"2,837,077",2.6384965420888316,19.572134172156126
Japan,"123,103,479",7.3007301192499625,69.87468709250281
Jordan,"11,520,684",3.3843186278323607,27.619082982498966
Kazakhstan,"20,843,754",3.0024731244573246,23.499211396696747
Kenya,"57,532,493",4.070403781534574,35.021508060691694
Kosovo,"1,600,000",2.3004900039766527,15.925257307362905
Kuwait,"5,026,078",2.8592215741117744,21.95361772942998
Kyrgyzstan,"7,295,034",1.846256101049254,11.02436065298848
Laos,"7,873,046",1.2469346375804915,4.558060942025904
Latvia,"1,853,559",4.221599540442192,36.65281471616251
Lebanon,"5,849,421",2.061439657152259,13.346055188304057
Lesotho,"2,363,325",2.248908248069206,15.368722770146807
Liberia,"5,731,206",1.9653930489045732,12.309773004188159
Libya,"7,458,555",0.8244760636725212,0.0
Lithuania,"2,830,144",4.277164615971291,37.252326753915774
Luxembourg,"680,453",4.455249674416274,39.173751952480465
Madagascar,"32,740,678",1.2097800347201026,4.15718626561014
Malawi,"22,216,120",1.714540751722605,9.60323530174426
Malaysia,"35,977,838",5.181434425065422,47.00882633151239
Maldives,"529,676",1.8955013914019685,11.555686203939025
Mali,"25,198,821",0.989338892166737,1.778765696243389
Malta,"545,405",3.7807715772414703,31.89655967645355
Mauritania,"5,315,065",1.0034713484166211,1.9312459649040497
Mauritius,"1,268,280",2.4573954694996667,17.618168087643674
Mexico,"131,946,900",5.217123905340515,47.393893261456014
Micronesia,"113,683",1.8738105103142357,11.321655309573366
Moldova,"2,996,106",2.8732447493447073,22.104918925003158
Mongolia,"3,517,100",2.5910208478069325,19.059901444104007
Montenegro,"632,729",2.6164785694530233,19.33457416676791
Morocco,"38,430,770",3.0815791191232615,24.352715069805924
Mozambique,"35,631,653",1.2386120899454038,4.4682659144028944
Myanmar,"54,850,648",1.8376638486254309,10.93165568119736
Namibia,"3,092,816",1.8557957364419524,11.127287288095902
Nepal,"29,618,118",2.0676042404081842,13.41256714450079
Netherlands,"18,346,819",7.2020644295956355,68.81014667574372
New Zealand,"5,251,899",5.686722727140333,52.460567677048346
Nicaragua,"7,007,502",2.1159153213047532,13.933813166009337
Niger,"27,917,831",1.7751977242940622,10.25768568958211
Nigeria,"237,527,782",3.496961183312197,28.83442494560107
North Korea,"26,571,036",2.800329094069264,21.31820510050016
North Macedonia,"1,813,791",2.8617937415058936,21.981369789536213
Norway,"5,623,071",6.378955599022948,59.92932274793469
Oman,"5,494,691",2.5026107415590264,18.106012288911412
Pakistan,"255,219,554",4.354900457212021,38.091047337752435
Panama,"4,571,189",2.627777196661632,19.456479211567142
Papua New Guinea,"10,762,817",2.226905638510411,15.131328522647317
Paraguay,"7,013,078",1.9800676254172855,12.468102407766404
Peru,"34,576,665",3.711161955993216,31.14551586909079
Philippines,"116,786,962",4.947275376968651,44.48239823353665
Poland,"38,140,910",6.50218759863796,61.25891811880601
Portugal,"10,411,834",5.908348541330637,54.85177010445032
Qatar,"3,115,889",2.880914177322344,22.187667204412353
Republic of the Congo,"112,832,473",2.504647589080259,18.127988586008453
Romania,"18,908,650",4.492123478538311,39.571596988025135
Russia,"143,997,393",5.571888680682072,51.221580911708806
Rwanda,"14,569,341",2.4479216554077885,17.515951622761104
Samoa,"219,306",2.246544907076784,15.343223814898725
Saudi Arabia,"34,566,328",5.224436597697877,47.472792589044055
Senegal,"18,931,966",1.2919264751519601,5.043494426420421
Serbia,"6,689,039",3.391520582830811,27.696787523990444
Seychelles,"132,779",2.642516079818399,19.615502443181278
Sierra Leone,"8,819,794",1.238976115261472,4.472193517433246
Singapore,"5,870,750",6.814881278962753,64.63268525039052
Slovakia,"5,474,881",3.828862036751096,32.41542533266971
Slovenia,"2,117,072",4.106214490387862,35.4078829703556
Solomon Islands,"838,645",2.121373032212717,13.992698416443098
Somalia,"19,654,739",1.087343151793283,2.836169701146455
South Africa,"64,747,319",5.1331342469689485,46.48769794432432
South Korea,"51,667,029",7.152063651166248,68.27066988605137
South Sudan,"12,188,788",2.001551276703344,12.699897423578818
Spain,"47,889,958",6.849604277166868,65.00732444978026
Sri Lanka,"23,229,470",2.768091152256673,20.9703780885686
Sudan,"51,662,147",2.237137302911572,15.241721713268197
Suriname,"639,850",2.428753207655477,17.309136189449273
Sweden,"10,656,633",6.6732387804328805,63.10445223500232
Switzerland,"8,967,407",6.716665441124388,63.57299845033773
Syria,"25,620,427",1.1578833989936936,3.5972543742085907
Taiwan,"23,112,793",4.942893148631985,44.43511676014714
Tajikistan,"10,786,734",0.9970478009518771,1.8619399486065142
Tanzania,"70,545,865",1.9170312428447651,11.787979690235764
Thailand,"71,619,863",4.7478599981382,42.330832362643974
Timor-Leste,"1,418,517",1.4207181339061967,6.43307500469103
Togo,"9,721,608",1.7621142357354984,10.116523119172962
Tonga,"103,742",2.4925822812930605,17.997811542447415
Trinidad and Tobago,"1,511,155",2.4466281801333154,17.501995842260513
Tunisia,"12,348,573",3.1925084538704365,25.549572464268845
Turkey,"87,685,426",5.384232368467025,49.19688793573347
Turkmenistan,"7,618,847",1.6622696165910908,9.039262798513176
Uganda,"51,384,894",3.009536470440195,23.575420434536163
Ukraine,"38,980,376",3.9694010290505166,33.93175221344741
United Arab Emirates,"11,346,000",6.322494870320748,59.320147178658914
United Kingdom,"69,551,332",10.092859687350044,100.0
United States,"347,275,807",10.020751516853815,99.22199842578789
Uruguay,"3,384,688",3.3310729584256276,27.04459587052068
Uzbekistan,"37,053,428",3.024589177660329,23.737829629400295
Vanuatu,"335,169",1.7236623353960687,9.701651423085648
Venezuela,"28,516,896",2.897136701104712,22.362697980446754
Vietnam,"101,598,527",4.378589420005306,38.34663627057097
Yemen,"41,773,878",0.875557653481267,0.55113806120681
Zambia,"21,913,874",1.810816849091146,10.64199352839544
Zimbabwe,"16,950,795",2.5360280131363617,18.466563523454248
