INDICATOR,DOMAIN,coef_std,coef_original_scale,weight_indicator,weight_indicator_norm
% of Startups Exiting via Acquisition or IPO,Culture,0.12565930533586955,0.007928491003465987,0.007928491003465987,0.009720230881867645
Availability of Alternative Finance,Finance,0.38745822363174315,0.028323725403659652,0.028323725403659652,0.034724533361750284
"Availability of tech services (fintech services, crypto)",Supports,-0.1327395838114257,-0.005032757829183561,-0.005032757829183561,-0.006170098200377062
Corporate tax rate,Policy,0.5711883910508224,0.02592399221397921,0.02592399221397921,0.03178249046249272
Corruption index / Rule of law,Policy,0.364929047506937,0.013372671311414232,0.013372671311414232,0.016394727899350606
"Cost of Internet (60 Mbps or more, unlimited data cable/adsl) utlities monthly in USD",Supports,0.041709288459111024,0.004194659915524315,0.004194659915524315,0.005142600632577824
Cost of internet per month/USD,Supports,0.041709288459111045,0.004194659915524317,0.004194659915524317,0.005142600632577826
Diversity and Inclusion Index-wage inequality,Human Capital,-0.0150143209311631,-0.0011953760695452129,-0.0011953760695452129,-0.0014655161217386112
E-Government Index,Policy,0.05031194020399945,0.002484629836131053,0.002484629836131053,0.003046125126788058
Early-Stage Funding Growth,Finance,0.16016332921802964,0.008175497533614554,0.008175497533614554,0.010023057800801333
Early-stage Funding Volume,Finance,0.034139704241949696,0.012631539450918248,0.012631539450918248,0.01548610950087102
Ease of getting credit,Finance,-0.1539598003490775,-0.007028798225063739,-0.007028798225063739,-0.008617218779691353
Ease of starting a business index,Policy,0.07256075555833129,0.002819657592082606,0.002819657592082606,0.0034568649684880086
Employee Engagement,Human Capital,-0.06740997514937644,-0.003305485622631382,-0.003305485622631382,-0.00405248406217844
English proficiency,Human Capital,0.08193983264367635,0.0038380712396697252,0.0038380712396697252,0.004705427372539963
Entrepreneurship as a good career choice rate,Culture,-0.021664110240862934,-0.0016081647795649142,-0.0016081647795649142,-0.001971589921288332
FDI Confidence index emerging markets rankings,Policy,-0.037699791259320055,-0.0036641190620214617,-0.0036641190620214617,-0.004492164176755846
Fear of failure rate,Culture,0.053237188221132416,0.004295291346674994,0.004295291346674994,0.005265973509501032
Female/Male TEA Ratio,Culture,-0.0475789955450507,-0.0031802063481601982,-0.0031802063481601982,-0.003898893237387136
